timestamp,Fp1,Fp2,F3,F4,F7,F8,C3,C4,Cz,P3,P4,Pz,O1,O2,T3,T4,T5,T6
1,0.5496714153011233,0.6399355436586003,0.4324821725025618,0.3092192442122609,0.4136506395035066,0.4576240317977297,0.3885918641766912,0.5785185082310376,0.49669747362804395,0.576540215601335,0.4321505269512778,0.3821820312665723,0.6174814057585691,0.5011736369721936,0.4775759044451814,0.4856576783541071,0.5879307292708976,0.46601788316917026
2,0.4861735698828815,0.5924633682912769,0.48554813292844823,0.4139614989220498,0.4968796511060916,0.4546585891616146,0.436906916626221,0.32223190376297983,0.44963497396244034,0.6073412702410446,0.4694500536946347,0.5432850402519974,0.31210190552461725,0.5527438651859997,0.478916528134542,0.496734409625969,0.5039309198743466,0.5182134871011177
3,0.5647688538100692,0.5059630369920174,0.42075800790000384,0.45863944665783557,0.5018016872044446,0.3204356827369985,0.4057939816425755,0.5714745649888945,0.4827625042546338,0.5498689912135545,0.4402618938954857,0.6110753172414642,0.46722049441225366,0.3388997232114832,0.723542743475696,0.5064294878587582,0.4087674485933642,0.6359771893328314
4,0.6523029856408026,0.4353063222294426,0.46920384703609597,0.688768765734019,0.5472630345843406,0.4669909808298563,0.44520041812588623,0.4766275942148275,0.57147317275177,0.30575023090382303,0.5110418046946119,0.5755184973803944,0.49583399766186653,0.4080101829553846,0.5809310903931301,0.594686146164618,0.45375008468000305,0.49552912432404145
5,0.4765846625276664,0.569822331361359,0.31063853330462143,0.5556553124533758,0.3633141636719174,0.5732829081821745,0.47858496892888114,0.5707457710864381,0.6277856655030514,0.484457756747224,0.6197178531461913,0.6084477524857288,0.5015908658399632,0.4851821466501771,0.7480650917512143,0.4252782691513256,0.5342853465781648,0.411388734865235
6,0.4765863043050819,0.539348538542175,0.5213293707372939,0.3664518430900109,0.5592567273847331,0.3725767880923205,0.5837154486331384,0.5776931692354829,0.5570487330863574,0.38442924250830846,0.42289578428587954,0.47881104688017573,0.5180496056078081,0.41133349653156254,0.45030368670794985,0.415365300848734,0.6818464378381593,0.3380310134483373
7,0.6579212815507391,0.5895193220027732,0.5001205475362224,0.5486036289417637,0.22956083683972245,0.6048482651050593,0.46788409612942977,0.6607915061119157,0.510172320847177,0.4797394227081926,0.6000820497768414,0.45333810318243545,0.5610439819809493,0.418440822878085,0.49150334031118526,0.6236619742142975,0.45159803768037216,0.5513047867410251
8,0.5767434729152909,0.563517180168197,0.4182911368931809,0.34526960110616345,0.437011544763619,0.5487774821084338,0.3414374293230407,0.6353453647621203,0.6498011770304428,0.5980004236133893,0.4218327927653112,0.4263098647768201,0.49645925609546493,0.46501373369235627,0.3667874234723353,0.45373552581187016,0.5804787443527399,0.5247288125627739
9,0.4530525614065048,0.6049552715319335,0.5659245668432406,0.6082691053887074,0.4511726157548455,0.4265766678028962,0.6140067846495161,0.6346571662610296,0.4687163526948478,0.5305150835874972,0.4152372787503116,0.4944103533386405,0.46319417178563194,0.5649581331646173,0.41904331979104276,0.37369646464229334,0.467194354932324,0.4354091826737703
10,0.5542560043585965,0.4464764788439432,0.5937570137626559,0.45288753481821215,0.5633326826071239,0.4858470362662153,0.41629098663849606,0.6443670319166238,0.6030919338366907,0.6148090866397433,0.5818594618343214,0.4921409204031181,0.45924106553403043,0.4657282223121856,0.6901913148662501,0.451487005790013,0.5110468755886136,0.6026014125707297
